id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url
3TPVtZI8iS8kcf9d6CzL86,P'ra Ti,7crp1tZcefnjT5RuL6WZQ0,Slow J,2020-09-04T13:13:47Z,111864,2017-03-17,False,28,https://p.scdn.co/mp3-preview/c8b46caf0a7e8a5d843ee59449e327d9c55bf4ea?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d009f84cc51ef97cab77e360
5oGOwG8FhaKQyXrruJKkk6,Só Queria Sorrir,7crp1tZcefnjT5RuL6WZQ0,Slow J,2020-09-03T12:04:08Z,222642,2019-09-20,False,47,https://p.scdn.co/mp3-preview/d585666b29ece1430aa550d493f02921d755ec15?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734b44132d6897c8b19f37c065
29VCBGUAAU8sFTdjdUQ1wA,Pokor Lèr,3RR7yaMwyMZ00dVrXmO8ow,Saodaj',2020-08-30T11:36:13Z,261146,2018-06-01,False,34,https://p.scdn.co/mp3-preview/a43bfc05fc48503fd65d2c7287c2611840fcc4dd?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a172548db8df0c10507bd8af
7eMBDipvMwVnYiMe0yrS5x,Perdus,3QVolfxko2UyCOtexhVTli,Angèle,2020-08-28T18:31:21Z,183682,2019-10-10,False,54,https://p.scdn.co/mp3-preview/7f5131593e3cb78ad2c7b16c635eef09e2ecbdf4?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734dfa92474b1989012165b1e8
1ULzttQgU3Q9EaIpdoxF1T,Le Onde,2uFUBdaVGtyMqckSeCl0Qj,Ludovico Einaudi,2020-08-26T09:37:51Z,324015,1994-10-01,False,57,https://p.scdn.co/mp3-preview/7ad85ff32a0ecb663be323d1a94240ea6f55a863?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a2340d486947b68f6772c10d
4PhY4RrJmkSL76YwY3ZVWL,Drinking From The Well,5n5U9orzCuRmnVsmQ3G1IM,Stefan Jós,2020-08-26T09:37:14Z,436000,2017-03-17,False,4,https://p.scdn.co/mp3-preview/1ceb6ce66e1d31c2446c33cceb579949a4c616a4?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2738447ea33b1286c5b3b4a5fab
2TxHfUvF3W9ppHVqTlT2kj,Static Scene,7Czyyo31ZyZL1VLtYaTkW0,Patricia,2020-08-26T09:36:00Z,338595,2017-03-17,False,4,https://p.scdn.co/mp3-preview/7be9f2ad0b77751b295108c7ff5bf07a4d3ec36f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2738447ea33b1286c5b3b4a5fab
5HwnezK198pJCEj1l2Adjy,She Loves Control,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,2020-08-25T18:10:07Z,177160,2018-01-12,False,63,https://p.scdn.co/mp3-preview/161df08e7f876e568b7f826dab9456a05d78264f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4
7nKBxz47S9SD79N086fuhn,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,2020-08-18T13:40:08Z,208162,2017-02-24,False,72,https://p.scdn.co/mp3-preview/0c5945ac04ea45dbc3f44615241bc070415a80f0?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2735366ff028970205a29d558ed
1ugQtcwmKOXvKAYzhjncmv,Half A Man,3QSQFmccmX81fWCUSPTS7y,Dean Lewis,2020-08-12T12:58:34Z,179120,2019-03-22,False,76,https://p.scdn.co/mp3-preview/b26d8a4669bdb3a1185018e93e107eb514828dac?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a787f718fb485b66d6219247
2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,2020-08-12T12:52:42Z,182160,2018-11-08,False,80,https://p.scdn.co/mp3-preview/766ff3dba2d64b22de6c947cb08c75a6ff633612?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273b280aea74eef855675d7b93b
3tCwjWLicbjsMCvXhN0WOE,Rude,0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,2020-08-12T12:47:37Z,224773,2013-10-11,False,67,https://p.scdn.co/mp3-preview/9b3bd39a3460c7678e2ec2db2f05fe986797d137?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730ee3a8b1f9762f0a1e69385d
7eheoW4hxrH51ww2QePVwF,Gonna Make You Sweat (Everybody Dance Now),7krx6UBDKLwE0q3s3fesqF,C & C Music Factory,2020-08-12T11:21:14Z,244093,1990,False,66,https://p.scdn.co/mp3-preview/7a0ca54b2dfa2a3cc054960c0f122904460d1a18?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273bf6cc1130a676e73730f6311
6b2oQwSGFkzsMtQruIWm2p,Creep,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,2020-08-07T11:45:47Z,238640,1993-02-22,True,46,,https://i.scdn.co/image/ab67616d0000b2732f85b65d3ac4d3d7f806ca11
7aBGmvIMPhysITXJU2q3g7,The Rock Doc,6Qm9stX6XO1a4c7BXQDDgc,Fruit Bats,2020-07-31T20:56:50Z,221254,2016-11-17,True,37,https://p.scdn.co/mp3-preview/0ad32f4093f2d76cb97d25a3db7861f7b09a6ea0?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27322e4509ccba9cb4613f5e449
6Xtb1w2ooURsLUa4cBvyRt,"Sway, Sway",5v5c1zBRKBwkDh4sQEHcMx,Heinali,2020-07-31T13:47:37Z,293800,2013-12-14,False,41,https://p.scdn.co/mp3-preview/de3fa2a1dad1ba25d0d9f342a862a4bb81857b4c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27363c86d1904b940e3380b609f
2Zg0aB5oVQlbQE1vzQmIIY,Hurt Somebody,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2020-07-30T17:36:00Z,167106,2019-06-14,False,67,https://p.scdn.co/mp3-preview/b35c47856cca599c01e035837ee9e7cdfeb31af9?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a82b6363eb1895f2e9aae530
0Fs0pr0lq3408wD1cemNll,Love Songs,25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,2020-07-23T14:29:51Z,191118,2020-05-01,False,57,https://p.scdn.co/mp3-preview/b3daf9ec0892c2716d6534a0d8e8e8c50d6f31a3?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a35d2cea43b7ca82c8cef110
1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,6KImCVD70vtIoJWnq6nGn3,Harry Styles,2020-07-13T10:55:24Z,174000,2019-11-17,False,77,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2737cf2b9825bb43083d123ac22
2b8fOow8UzyDFAE27YhOZM,Memories,04gDigrS5kc9YWfZHwBETP,Maroon 5,2020-07-08T18:28:39Z,189486,2019-09-20,False,87,https://p.scdn.co/mp3-preview/d7527c763d2a23c25299a886ad161ffaad6294e3?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273b8c0135a218de2d10a8435f5
5KxRloAFzOOD6SWBdDGvRe,Moon Trance,378dH6EszOLFShpRzAQkVM,Lindsey Stirling,2020-07-05T14:08:37Z,235960,2012,False,0,,https://i.scdn.co/image/ab67616d0000b273595a1722d020bb3b0cae35f2
0T7C3cu09QkOZUFwJODSgb,Shadows,378dH6EszOLFShpRzAQkVM,Lindsey Stirling,2020-07-05T14:07:59Z,223453,2012,False,0,,https://i.scdn.co/image/ab67616d0000b273595a1722d020bb3b0cae35f2
3B7udSGy2PfgoCniMSb523,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2020-07-04T13:30:06Z,300840,2013-01-01,False,74,https://p.scdn.co/mp3-preview/3b2438793a5688ee857891b8a04feb35eb89b47e?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27381ef6477bfe32dc55845ef27
37f4ITSlgPX81ad2EvmVQr,Fight Song,3QLIkT4rD2FMusaqmkepbq,Rachel Platten,2020-07-04T12:57:42Z,204013,2016-01-01,False,79,https://p.scdn.co/mp3-preview/e637c2d18133fe780d89df9e603028661a19c818?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a9e4d7fae5dfcc8f9cc96bc9
305WCRhhS10XUcH6AEwZk6,Are You Gonna Be My Girl,5ypxebeHEIXjMtJb17uJlI,Jet,2020-06-25T16:33:28Z,213800,2003-09-15,False,75,https://p.scdn.co/mp3-preview/f0e6e6d1835303097ef22037f333f8c057463146?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d06bd6d3b1f258ba2bca597a
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man,2020-06-23T08:40:32Z,163253,2017-06-16,False,78,https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273af52c228c9619ff6298b08cd
4oIOXVdUUHaxLyeosHWABU,Malaguena Salerosa,1gIDi1FjEZDnEwa0kco2zw,Chingon,2020-06-19T05:27:18Z,245840,2004-04-13,False,48,https://p.scdn.co/mp3-preview/6a0a0fdc965eba05166b7f5604a3d436d54f8a31?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2739adff911989f44527bdfb7ee
2oZSBEtzUtq70iQwpNjrnk,Malagueña Salerosa,0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,2020-06-19T05:25:39Z,254984,2017-12-22,False,51,https://p.scdn.co/mp3-preview/db1f327a6b1bf16fbab6b9b489c10616da80a75d?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2734843e0f824a00334e811279c
3RvAgjl7XzMzKNz4EXWsoQ,Pirouette 1 - Just Be,50HZSBxcXQODO6MNW4zUE3,Christopher N Hobson,2020-06-16T07:39:11Z,204285,2013-06-21,False,9,https://p.scdn.co/mp3-preview/54f5ca9295bf7b1273dcb32628fd4610a844b45a?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273595322c3c5571ed879b9b21b
2QbFClFyhMMtiurUjuQlAe,Don't Wanna Know (feat. Kendrick Lamar),04gDigrS5kc9YWfZHwBETP,Maroon 5,2020-06-12T18:29:36Z,214265,2017-11-03,False,0,,https://i.scdn.co/image/ab67616d0000b2739ccf08d3f74b36b7880522b5
1pWOJi4RBIJfE1EG9Lapa7,L'aérogramme de Los Angeles,44TGR1CzjKBxSHsSEy7bi9,Woodkid,2020-06-11T18:38:54Z,211787,2018-04-11,False,46,https://p.scdn.co/mp3-preview/189c2de2b255904bd505db43e275357b32d69f83?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2733e54cd3c99e55878ac50ab17
1hOHz9pmlqNVxHE1fyzbkr,Let Me Love the Lonely,4IWBUUAFIplrNtaOHcJPRM,James Arthur,2020-06-03T15:01:07Z,172386,2016-10-28,False,53,https://p.scdn.co/mp3-preview/9474336a54e2b3be96e95b378e37dd704490544e?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab
6w8pFOKn42O418qwcQElZ3,Waves,3QSQFmccmX81fWCUSPTS7y,Dean Lewis,2020-03-10T11:16:09Z,240013,2019-03-22,False,77,https://p.scdn.co/mp3-preview/5802656de25d00961463b372f81b6982124d4ce1?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a787f718fb485b66d6219247
5Sf3GyLEAzJXxZ5mbCPXTu,Waves - Robin Schulz Radio Edit,33W1pnW9zScZtYTnAoWnOT,Mr. Probz,2020-03-09T10:35:34Z,208133,2014-02-07,False,26,,https://i.scdn.co/image/ab67616d0000b273067dfba04c23ce2887041fff
4Qrxdjj3nFhjrqcnUU5r6a,Shine,5vBSrE1xujD2FXYRarbAXc,Years & Years,2020-03-09T10:34:55Z,255506,2015-07-10,False,57,https://p.scdn.co/mp3-preview/055379e2287fe51011cd46daab83f76ca7967ec9?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2738205fc91939f7cfd12c3fe78
3KZcrZ36LW9RnChK1iIkth,Send My Love (To Your New Lover),4dpARuHxo51G3z768sgnrY,Adele,2020-03-09T10:30:50Z,223078,2015-11-20,False,36,,https://i.scdn.co/image/ab67616d0000b2735ffbbc3dca25d5c81491af1f
1FSWSs9CL01RCYxXtm08Rf,Dance with Me Tonight,3whuHq0yGx60atvA2RCVRW,Olly Murs,2020-03-09T10:30:18Z,202226,2011-11-28,False,70,https://p.scdn.co/mp3-preview/882a4b1505b9bedf8fe156080cebb23193b3540b?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ff2057b7343d2233451ff8e7
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,36jaGQtMj5UWD0eO1fCVdD,Joel Adams,2020-03-04T15:32:19Z,210580,2015-11-06,False,74,https://p.scdn.co/mp3-preview/40e609def3e6b83f48018c17492598f982e9832f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2733a22ad98e76e2d0c1760345d
3vjQt1znaFEnX3PBXsgtVc,Next To Me,7sfgqEdoeBTjd8lQsPT3Cy,Emeli Sandé,2020-03-02T15:56:04Z,196746,2012-01-01,False,60,https://p.scdn.co/mp3-preview/d868a036f72b3892bb2944409ad60db767aed984?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273623108b3d24c016e5a14374b
78zUxUPvONPgMIt46q5be6,Please Keep Loving Me,0B3N0ZINFWvizfa8bKiz4v,James TW,2020-03-02T15:49:52Z,195920,2017-07-28,False,69,https://p.scdn.co/mp3-preview/2f5d1619514a86e967a02c89981bfce818f40365?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2732453070d2f3f3a7f67fb94b5
0zbzrhfVS9S2TszW3wLQZ7,September Song,4kYGAK2zu9EAomwj3hXkXy,JP Cooper,2020-03-02T15:04:38Z,220290,2017-10-06,False,73,https://p.scdn.co/mp3-preview/3f3a8f7c45b5392d702b9c94b4cf8898dcb6ca19?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273c27b53492a2ee7fcebd74d6e
0L9lXMXddmoBbBUeF7A9An,Nervous (The Ooh Song) - Mark McCabe Remix,25tMQOrIU4LlUo6Sv8v5SE,Gavin James,2020-03-02T14:56:31Z,195194,2016-06-24,False,53,https://p.scdn.co/mp3-preview/390cfa79c6b6bfa424a6685312cd6fa3f949f07c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a643e6c6a848c153e9b9068d
0IR0twnckQoKMgbnPf5uw0,"6, 8, 12",6k0IBR0lU42s2GYpNX7kA9,Brian McKnight,2020-03-02T14:49:10Z,247466,1999-09-21,False,62,https://p.scdn.co/mp3-preview/8e40c0632b8e5e1979719bb87b677fbcb9b0979f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e9da8645c59d76e7f35dff6e
7gd01LMH2gBcoDngSt8sq9,Next To You (feat. Justin Bieber),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,2020-03-02T12:34:48Z,265813,2011-03-22,False,71,https://p.scdn.co/mp3-preview/ebdd6e26bd4d59fc05b31c5ce3cd50ad93c85a4b?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2730a1d20ec09cab4bb17a36aab
