id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2jt2WxXMCD4zjACthkJQVE,The Ringer,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2018-09-05T16:45:51Z,337941,2018-08-31,True,68,https://p.scdn.co/mp3-preview/2ddba43917fe8892fe9cecd237b6f8b55a174186?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.939,0.551,1,-9.126,1,0.291,0.0311,0,0.192,0.42,118.552,4
2XTquzYQAdT1Hk78bOUwsv,Greatest,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2018-09-05T16:45:51Z,226937,2018-08-31,True,65,https://p.scdn.co/mp3-preview/a6baac936e520064cf30831d1e462a624bfa6ca0?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.809,0.737,1,-5.186,1,0.108,0.0441,0,0.341,0.367,80.025,4
60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),7dGJo4pcD2V6oG8kP0tJRR,Eminem,2018-09-05T16:45:51Z,244679,2018-08-31,True,74,https://p.scdn.co/mp3-preview/beb2b8d3b305563a61c6475462885f211b708c1c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,4
0Uv5Kp8sEnriJjkX4oLfNI,Paul - Skit,6bwVWdQfr6ttzrGLboVkjg,Paul Rosenberg,2018-09-05T16:45:51Z,35240,2018-08-31,False,56,https://p.scdn.co/mp3-preview/a70ab0bab9c0e912aadd515c69da326641773097?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.636,0.335,11,-13.327,1,0.966,0.993,0,0.342,0.561,161.68,4
0evt4UZbdhnHtcAnxkm6A1,Normal,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2018-09-05T16:45:51Z,222477,2018-08-31,True,61,https://p.scdn.co/mp3-preview/4064b1e8ce3768dfdd7bb542793818f8f2451c6e?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.907,0.64,6,-6.542,1,0.354,0.261,0,0.0785,0.803,120.995,4
6B3zy3LOKHndqsviCr2z15,Em Calls Paul - Skit,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2018-09-05T16:45:51Z,49023,2018-08-31,True,55,https://p.scdn.co/mp3-preview/dcf3562f1e4807c2a56f5b893ac3213707e42047?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.707,0.314,6,-10.115,0,0.747,0.977,0,0.109,0.602,104.014,4
60Z57Wdrn0pEVpHI7d7GAX,Stepping Stone,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2018-09-05T16:45:51Z,309637,2018-08-31,True,61,https://p.scdn.co/mp3-preview/0f9de34716b78bfe1755f178688456f46fe09410?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.616,0.684,7,-6.032,1,0.311,0.0305,0,0.376,0.312,179.503,4
28FGV3ORH14MYORd7s5dlU,Not Alike (feat. Royce Da 5'9),7dGJo4pcD2V6oG8kP0tJRR,Eminem,2018-09-05T16:45:51Z,288086,2018-08-31,True,66,https://p.scdn.co/mp3-preview/61cc210575c8fa4d7ea630a3e68cc4f18adf5833?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.904,0.756,10,-3.746,1,0.32,0.0692,0,0.339,0.342,140.005,4
2gsNpSn7VvvJuSrIDfRoYy,Kamikaze,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2018-09-05T16:45:51Z,216029,2018-08-31,True,66,https://p.scdn.co/mp3-preview/b9496309781883a6d27beb5fa6832a832736175e?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.78,0.808,2,-5.175,1,0.484,0.112,0,0.329,0.642,79.982,4
58QhkbaAkLFnn7JwAnAato,Fall,7dGJo4pcD2V6oG8kP0tJRR,Eminem,2018-09-05T16:45:51Z,262493,2018-08-31,True,67,https://p.scdn.co/mp3-preview/2b38ecc7b3f2674e431599190b02ce6aa9796ea2?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,0.83,0.546,1,-5.716,1,0.295,0.227,0,0.112,0.535,182.973,4
