id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0mzqrv0bY7d5ECDfsRMUpf,The Press Corpse,30sqtiTKIb1oDve0SdYayT,Anti-Flag,2017-08-27T15:20:04Z,200440,2006,False,52,https://p.scdn.co/mp3-preview/d9eccff892895e050ae6e05daaa5a43cf731ca1f?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273ac1ff56d09fb0bc775aab21a,0.315,0.967,10,-3.251,0,0.146,0.000863,0.00418,0.205,0.765,186.335,4
1H4MrVkqdktMTrIvLm0gtO,Broken Bones,30sqtiTKIb1oDve0SdYayT,Anti-Flag,2017-08-27T15:20:00Z,181453,2012-03-20,False,0,,https://i.scdn.co/image/ab67616d0000b2733269de6266d8d07026260760,0.343,0.98,4,-3.497,1,0.1,0.000244,1.11e-05,0.313,0.387,105.479,4
1jvqZQtbBGK5GJCGT615ao,This Is the End (For You My Friend),30sqtiTKIb1oDve0SdYayT,Anti-Flag,2017-08-27T15:19:58Z,192066,2006,False,55,https://p.scdn.co/mp3-preview/4f85e0ab6f6fe6adb974bc75adf6ce0d98c518cb?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273ac1ff56d09fb0bc775aab21a,0.546,0.875,1,-3.631,1,0.0445,0.0205,0,0.0669,0.765,101.693,4
0mSnKTwQu8Uwb0sKyVzutW,Deine Mutter,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,204397,2016-04-15,True,50,https://p.scdn.co/mp3-preview/2b08f87dee75bef45a6d7fc9e525de6ddb8f3483?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.696,0.91,5,-2.675,0,0.0779,0.101,0,0.629,0.605,144.976,4
0AuQnOc0CnL562268H1iSm,Hass Frau,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,237477,2016-04-15,True,55,https://p.scdn.co/mp3-preview/f85b9d6a9548bcbd032f2c48bd0e7fdba5664903?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.739,0.936,6,-2.508,0,0.0934,0.047,0,0.334,0.603,99.993,4
7yvknEDMxTknjazIoYV3GR,So high,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,258191,2016-04-15,True,52,https://p.scdn.co/mp3-preview/a941f53aa75045e5d86038d58243649b8e236add?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.558,0.877,8,-4.322,1,0.105,0.0116,0,0.111,0.31,155.115,4
32WEnfGfRM6pYzCIx9fPUl,Made 4 Love,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,217800,2016-04-15,True,45,https://p.scdn.co/mp3-preview/b0190cc9f5680cf4c375864511f79a8d43b9a31b?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.332,0.871,4,-2.718,1,0.321,0.0698,0,0.109,0.311,78.11,4
3OSjGvo7Cv04JTfZaXnZaL,Fotzen im Club,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,190306,2016-04-15,True,58,https://p.scdn.co/mp3-preview/ce5156c3d55e8f6755f320eee3626cc28ab0fde2?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.746,0.787,1,-3.619,1,0.219,0.066,0,0.0834,0.721,120.002,4
7KkDHhJjbgwxp2B4EJsall,Ich bin schwarz,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,182381,2016-04-15,True,48,https://p.scdn.co/mp3-preview/6ea02b52bd1fa85746819dafd07f6e6f9b59332a?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.823,0.925,1,-2.409,1,0.0967,0.0221,0,0.0833,0.531,149.23,4
1SjTTDvZyXO4cAqdUuiFUq,Kein Geld,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,205184,2016-04-15,True,48,https://p.scdn.co/mp3-preview/e93bf5bcd9f5a7e26ab6ef88392f02f34fef319a?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.464,0.802,2,-3.064,1,0.273,0.0787,0,0.102,0.423,86.76,4
72sZQPrI46eXcRj8ohOze1,Wir sind friedlich,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,215822,2016-04-15,True,43,https://p.scdn.co/mp3-preview/fa5bfa0b68ba06554c5d7582f04016e1e74e1231?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.897,0.903,1,-2.619,1,0.0859,0.00692,0,0.172,0.378,130.031,4
2LdauOvDGmf9ztRQ611bCW,Deine Mutter - Instrumental,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,204397,2016-04-15,True,27,https://p.scdn.co/mp3-preview/a8ce6a32324a2a0abb0fc46b7c3c32d48b839380?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.694,0.95,5,-3.615,0,0.0312,0.00322,0.881,0.398,0.677,145.024,4
0J5IWImaPpVbGHKHxDxeTL,Hass Frau - Instrumental,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,229484,2016-04-15,True,24,https://p.scdn.co/mp3-preview/fee4cfd07cf0ed0d35ca468ef5971aa306475c9f?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.77,0.926,1,-3.878,1,0.0522,0.00319,0.743,0.298,0.465,99.996,4
0mDxEeykHHRwAqb6TnBzi3,So high - Instrumental,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,258191,2016-04-15,True,23,https://p.scdn.co/mp3-preview/758f1bf54dc73b57310658ba674b5e3ff0c2c2c9?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.585,0.893,8,-5.688,1,0.0341,0.000338,0.75,0.109,0.216,155.084,4
0SowDiPoVhEVFspAGFJbgn,Made 4 Love - Instrumental,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,217800,2016-04-15,True,22,https://p.scdn.co/mp3-preview/736c1c15e19d6d1a3cb2a47553a0f6da3f6d154e?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.546,0.819,8,-3.34,0,0.0293,0.0225,0.0014,0.11,0.136,156.003,4
25frs1kVN4k6qQQAXiyNx1,Fotzen im Club - Instrumental,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,187902,2016-04-15,True,21,https://p.scdn.co/mp3-preview/3213a79ccae80c48d6b17896843811cbc019dd11?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.811,0.809,1,-5.19,1,0.0377,0.00294,0.122,0.0953,0.486,119.983,4
4fGUr8s2R3F69qFSTNPQeQ,Ich bin schwarz - Instrumental,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,182381,2016-04-15,True,20,https://p.scdn.co/mp3-preview/86f338315c6ac46b569bd6a41d2a68f8484ea974?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.838,0.947,1,-4.324,1,0.0694,0.00186,0.785,0.083,0.31,149.22,4
7yYKyXA8bkKvCGJ0Qz3S7L,Kein Geld - Instrumental,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,205184,2016-04-15,True,20,https://p.scdn.co/mp3-preview/586e9fed03ec3fddfa83a03d328b9c13d83b38e6?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.508,0.661,2,-4.261,1,0.302,0.0154,0.349,0.0951,0.423,177.686,4
5uYimRMoTJpV9CQ6Bgbv2r,Wir sind friedlich - Instrumental,0tMFcqLXhtm1Gep20iuIR3,SXTN,2017-08-27T14:47:07Z,215822,2016-04-15,True,20,https://p.scdn.co/mp3-preview/15a137c81e0989fc87a3a918c0094e3a2da86350?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fd3347cb3524085b1a9f4d0e,0.815,0.911,0,-5.177,1,0.0449,0.000256,0.899,0.174,0.548,130.017,4
6jmTHeoWvBaSrwWttr8Xvu,I Mean It (feat. Remo),02kJSzxNuaWGqwubyUba0Z,G-Eazy,2017-08-27T03:16:36Z,236480,2014-06-20,True,71,https://p.scdn.co/mp3-preview/432fc518b825b9dfb9b23a8fa73f38488301d6ec?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273bdfe4efd674482cf5ac88c99,0.712,0.562,10,-6.008,1,0.129,0.125,0,0.136,0.142,140.0,4
5QxxIhXt7E8yR3F7U9ajiV,Ultimate,6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,2017-08-26T17:42:10Z,189974,2015-01-01,True,0,,https://i.scdn.co/image/ab67616d0000b2730ffd0fb333c4ce3cd160ddca,0.488,0.826,6,-3.11,0,0.305,0.0949,3.26e-06,0.246,0.762,112.65,4
6gBFPUFcJLzWGx4lenP6h2,goosebumps,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,2017-08-26T17:40:54Z,243836,2016-09-16,True,86,https://p.scdn.co/mp3-preview/d6d1ec9bfc82463707878d5e36d15e7b8a364069?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
4OAebK6N8oGh2AqKsjElMk,Don't Test Me (Pussy Boi),27yv3qKl5GXl3Qjnjy04Sn,RAMIREZ,2017-08-26T17:40:49Z,132208,2016-05-12,True,0,,https://i.scdn.co/image/ab67616d0000b273992ec5917b4eb1c3a596a911,0.734,0.446,7,-8.329,0,0.0395,0.167,0,0.0762,0.065,119.973,4
1wgqttlPacpvmX5DKVboOa,Paper Planes,0QJIPDAEDILuo8AIq3pMuU,M.I.A.,2017-08-26T17:40:13Z,205200,2007-08-20,False,48,,https://i.scdn.co/image/ab67616d0000b2734f3fc8ea510be941de66f032,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.65,0.485,172.247,4
4Ijr3J0lnLCGZvpXBiqCjU,Bap U,7yPPzu5UdAK7yagQqjEZQm,Party Favor,2017-08-26T17:40:11Z,168206,2014-10-07,False,57,https://p.scdn.co/mp3-preview/f8be0f067ab986b668788efbae6af031b4f1a371?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273626b2b7c0a8975b722bc5143,0.668,0.953,8,-1.784,0,0.0386,0.0193,0.000118,0.0834,0.254,100.001,4
50M2QjfSM82wkJ1d0iV4mh,Daydreamin' (feat. Jill Scott),01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,2017-08-26T17:39:58Z,234306,2006-06-27,True,57,https://p.scdn.co/mp3-preview/8bf2ffaff1bd62011bc8c2c6bbb5f18d86f61ef3?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273a81ec0503c55850ad4687940,0.533,0.739,5,-3.573,0,0.0602,0.029,0,0.266,0.617,81.37,4
40wUM3LFZOlUcZfxEIZrYK,Swimming Pools (Drank) - Extended Version,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,2017-08-26T17:39:45Z,313786,2012-10-22,True,63,https://p.scdn.co/mp3-preview/d4ff89d27efb7f0ad48a7f9692af13f5e5326049?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27378de8b28de36a74afc0348b5,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,4
1vffte5WTHIik37ePfJdo4,King Kunta,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,2017-08-26T17:39:42Z,234693,2015-03-16,True,0,,https://i.scdn.co/image/ab67616d0000b27384e23c824800a5fc6d3650c2,0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,4
2wzPSYbxGhEJzd6BSxskU3,International Anthem,7muzHifhMdnfN1xncRLOqk,Flux Pavilion,2017-08-26T17:38:38Z,236913,2015-09-18,False,38,https://p.scdn.co/mp3-preview/8fccc081bddc5f721cd22399a268bd9b8f3beb5d?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273a4d1a3704aef0fd5871b8106,0.576,0.919,7,-1.527,1,0.0355,0.00177,0.000716,0.0913,0.428,149.913,4
0P6RjFd2HgG2AXJadQuGfE,Working For It,28j8lBWDdDSHSSt5oPlsX2,ZHU,2017-08-26T17:38:35Z,231813,2015-11-06,True,55,https://p.scdn.co/mp3-preview/5e72c47c060e697fb2939217a110c72de5388e70?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27364efcbdee552ab9a141f9fcd,0.776,0.715,5,-6.587,0,0.0505,0.0971,0.0131,0.247,0.502,99.951,4
0wdKiSBUT7aZkXUIdJWcwC,2 Phones,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,2017-08-26T17:38:31Z,240000,2016-01-29,True,68,https://p.scdn.co/mp3-preview/1d3c6c844fa6f0f6fa242966da884f9b196b3d28?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2739b78cdf77301fc50d06423b3,0.895,0.681,7,-5.267,0,0.358,0.157,0,0.189,0.554,121.918,4
2NeHnSFnwNp1Z5WYgcjJ8L,X Gon' Give It To Ya,1HwM5zlC5qNWhJtM00yXzG,DMX,2017-08-26T17:38:10Z,219253,2010-01-01,True,0,,https://i.scdn.co/image/ab67616d0000b2738f803a04c040dc0b2e417511,0.678,0.857,10,-5.173,0,0.216,0.0325,0,0.0788,0.622,94.95,4
40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",02kJSzxNuaWGqwubyUba0Z,G-Eazy,2017-08-26T17:37:25Z,251466,2015-12-04,True,75,https://p.scdn.co/mp3-preview/6c707c1cc8b46d49bd90c42036bb2f24507c8ca9?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27398acfa8c055deedc25e6081d,0.756,0.674,0,-6.518,0,0.0959,0.0184,0,0.158,0.389,111.995,4
2b7FqlHc3JrzlYtGEkzq22,Juicy - 2007 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,2017-08-26T17:34:32Z,301466,2007-03-05,True,58,https://p.scdn.co/mp3-preview/f256ec70ca01fedf03ae2a2c1a158ea4759c613d?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273639fea4197e676cfe9512e04,0.873,0.816,9,-4.645,1,0.256,0.483,0,0.146,0.79,96.067,4
63BcfK6YAzJYeISaTPr6IO,Big Poppa - 2007 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,2017-08-26T17:34:32Z,249866,2007-03-05,True,68,https://p.scdn.co/mp3-preview/9f272fc489e876893a4b5d2c7f430db3a656f6e6?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273639fea4197e676cfe9512e04,0.765,0.671,9,-5.249,0,0.278,0.344,0,0.0506,0.798,84.5,4
7fXhkARAtS66kxexMIAx8O,One More Chance / Stay with Me - Remix; 2007 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,2017-08-26T17:34:32Z,268706,2007-03-05,True,63,https://p.scdn.co/mp3-preview/5057163191b2c2ed240eb9a1ce7d92be29ffc15e?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273639fea4197e676cfe9512e04,0.725,0.68,0,-6.037,1,0.224,0.149,0,0.127,0.695,90.964,4
3PA9dH8cT0wR5UW4XkC44Y,Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,2017-08-26T17:34:32Z,274440,2007-03-05,True,64,https://p.scdn.co/mp3-preview/e9695416b9c3ec4077c002965d0f028a50b5ce69?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273639fea4197e676cfe9512e04,0.711,0.871,2,-4.32,1,0.294,0.398,1.69e-06,0.171,0.912,91.153,4
0QfbuZrjcfyS8HqQ8d8xcs,Warning - 2007 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,2017-08-26T17:34:32Z,219226,2007-03-05,True,46,https://p.scdn.co/mp3-preview/f04f7611e383c833aff7095affb9f7a765cd1cf2?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273639fea4197e676cfe9512e04,0.771,0.865,6,-6.15,1,0.368,0.232,7.08e-06,0.0909,0.372,85.94,4
6SMrWEWukd0DWh5iHGWgks,Dead Wrong (feat. Eminem) - 2007 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,2017-08-26T17:34:32Z,297226,2007-03-05,True,52,https://p.scdn.co/mp3-preview/fbefac29e71bad54207bac89e54615adb58c6585?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273639fea4197e676cfe9512e04,0.648,0.895,10,-3.187,1,0.28,0.195,0.00132,0.0335,0.817,82.122,4
2kM3gIkHRiikiaIUFk3Fje,Who Shot Ya? - 2007 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,2017-08-26T17:34:32Z,316506,2007-03-05,True,51,https://p.scdn.co/mp3-preview/e7765ee9cf9ab5597488aaddf85084a64f29fe70?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273639fea4197e676cfe9512e04,0.824,0.73,11,-5.183,0,0.247,0.202,0,0.442,0.625,91.743,4
4xtq6uY0ofikksLWN37pT4,Ten Crack Commandments - 2007 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,2017-08-26T17:34:32Z,203946,2007-03-05,True,48,https://p.scdn.co/mp3-preview/5ec93a409f2daf857a6748602628c5cb19d485c2?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273639fea4197e676cfe9512e04,0.612,0.846,8,-5.728,1,0.544,0.061,0,0.314,0.797,173.812,4
