id,name,artist_id,artist_name,playlist_name,playlist_id,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
58u07iWTstIQrxiCM2GuuA,Part Of The Game (feat. NLE Choppa & Rileyy Lanez),BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,3q7HBObVc0L8jNeTe5Gofh,50 Cent,2021-01-09T12:38:19Z,185603,2020-12-30,True,65,https://p.scdn.co/mp3-preview/a01ed24058f4235413780700935d1db19e9847cf?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273348101f748b1253221b538ae,0.721,0.736,10,-5.389,0,0.116,0.261,9.36e-05,0.087,0.842,94.399,4
6gyZlDzJx2Q3rEdEqZ4woi,"Boink Boink (feat. Rich The Kid, VV$ Ken)",BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,2021-01-09T12:38:41Z,234546,2020-12-22,True,59,https://p.scdn.co/mp3-preview/2477f2b661f7191e95bd45f1bfcabd1f9db9efee?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27321b8b12f9b735eb5e9c2b0d4,0.891,0.635,1,-8.225,1,0.236,0.0427,0,0.235,0.897,131.001,4
6qcogtHOLPBFpCRBODMinm,New Holiday,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,2oTyVDT7WVoo4uoHGqFKEc,OFFAZIP,2020-11-29T23:08:24Z,167763,2020-11-27,True,3,https://p.scdn.co/mp3-preview/f8eab4d0914b550ca90264fa1b13631e5f6bbbe4?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273f1d875eeb5a5e21aed2bbb7a,0.846,0.583,6,-8.472,0,0.375,0.0966,0,0.137,0.589,76.008,4
7Hc3YL8oDiAzbiAW32KXrw,Dive,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,2021-01-09T12:45:39Z,148706,2020-12-11,True,68,https://p.scdn.co/mp3-preview/c3a82783d2199215737f15f01f4cb655bd6498f3?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2739bf7698a1737bc7c2e4a14f3,0.64,0.621,9,-8.269,0,0.0679,0.67,0,0.36,0.332,123.105,4
0EgSOmK5Jth2Rh5tRJ359Y,Keemy Casanova,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,5aTVaxCp68WGSX8qRkVM3X,Akeem Ali,2021-01-09T12:42:55Z,135523,2020-10-14,True,52,https://p.scdn.co/mp3-preview/b19589074cf0e0164ad2c105aea556446a850cf5?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273e783ef2358c015e3eab1fb31,0.823,0.805,1,-4.637,0,0.299,0.201,0,0.149,0.89,90.24,4
2Y3USTCETS4xbjJOzT1Icm,Adderall (Corvette Corvette) - Remix,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,2021-01-09T12:42:55Z,176382,2020-12-18,True,77,https://p.scdn.co/mp3-preview/ffa02c2463a90220540e129a65681a0f03f99f06?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27383965e6f5369c95696337ed5,0.921,0.718,4,-3.545,0,0.299,0.217,0,0.189,0.677,141.06,4
6rwzK3aVo1gOKDbnaRFQ1v,On Go,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,41TTSjdfiIV7sFPCgWwCzA,Adrian Dey,2020-11-29T23:08:24Z,114342,2020-11-20,True,7,https://p.scdn.co/mp3-preview/0386a7070e46f91670d0b3df72674a2d3d10c8ba?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273a3af2e9d924eb8ac5309b7cc,0.924,0.438,1,-8.462,1,0.392,0.0653,2.53e-06,0.124,0.499,127.02,4
42LIxdLzF7Z6gDz93dEKUp,All Due Respect ft. Starrah,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,0GeeIVcvGA8GSlWsoY1dkG,Vory,2021-01-09T12:45:39Z,152856,2020-12-09,True,43,https://p.scdn.co/mp3-preview/d5c1f2a6328f1e9d65ac1dcbbf1c061e2e25e853?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2737560579dea0416e630cd849a,0.705,0.572,4,-6.263,0,0.158,0.0594,0,0.104,0.216,149.967,4
4SHKs8ugjoATC3MgVym7Gs,Vetement Socks,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,7rkW85dBwwrJtlHRDkJDAC,NAV,2020-11-29T23:08:24Z,155086,2020-11-06,True,58,https://p.scdn.co/mp3-preview/23342f533731f5302db0b05f7d6697be4835c69c?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27392621d7615b7f5d056f5bbfe,0.948,0.688,2,-6.026,1,0.0756,0.0825,0,0.0818,0.783,129.946,4
5ehnLirCW2lIcBscqedZ02,Hurt,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,4qXC0i02bSFstECuXP2ZpL,Blxst,2020-11-29T23:08:24Z,138786,2020-09-04,False,45,https://p.scdn.co/mp3-preview/d367e10493798f7712be49cf3dbbdcd379939b8d?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273a7e8e5c3db09e66f9f2e0b74,0.657,0.606,3,-3.613,0,0.26,0.877,0.000334,0.106,0.405,101.596,3
7E2C5rBLpCKwQlhJPVFBRS,You’re Mines Still (feat. Drake),BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,3KNIG74xSTc3dj0TRy7pGX,Yung Bleu,2020-11-29T23:08:24Z,226220,2020-10-15,True,81,https://p.scdn.co/mp3-preview/00f2cd8962dcf24e4440272e0bdd699daa3a4f45?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273866d72ac0a4dc315fc8b3820,0.575,0.609,5,-4.88,0,0.121,0.317,0,0.105,0.339,83.004,4
0SRRejumehaZSuf1BJ6rVA,Legend,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,5Matrg5du62bXwer29cU5T,Benny The Butcher,2020-11-29T23:08:24Z,184508,2020-10-16,True,51,https://p.scdn.co/mp3-preview/b474628ee21c610d4c263cd899b4e1d35a12670c?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2733a5ea3ebef84b14da39cc996,0.595,0.908,11,-2.978,0,0.342,0.268,0,0.372,0.513,89.908,4
02iYJG3KLBJODa5JkQ4O6y,hooligan,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,5SXuuuRpukkTvsLuUknva1,Baby Keem,2020-11-29T23:08:24Z,156774,2020-09-18,True,68,https://p.scdn.co/mp3-preview/d3ecc41093b3522d37333abaec29b7bdf464384d?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273fda6fb075ee76ca40c7aaeda,0.77,0.636,10,-7.636,0,0.0901,0.198,2.92e-06,0.115,0.414,93.032,3
1izHDlJ5t8U3HgxlPNq75r,Baguettes,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,2oTyVDT7WVoo4uoHGqFKEc,OFFAZIP,2020-11-29T23:08:24Z,169014,2020-11-27,True,2,https://p.scdn.co/mp3-preview/b87eaced6aa3404157e71ceadabac85f1e90ddd9?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273f1d875eeb5a5e21aed2bbb7a,0.881,0.529,3,-8.639,0,0.12,0.0721,2.56e-06,0.0822,0.829,142.011,4
1Ey07UXA4UAcBnRY9YwVmU,How It Goes,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,6DpWtzfwV8fcwP6fXckDVu,Starrah,2020-11-29T23:08:24Z,113767,2020-08-12,False,24,https://p.scdn.co/mp3-preview/a7297eedd307f49878ec8edee87de3c4534e7d38?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27326b71594d4df99351dd91ccc,0.761,0.443,1,-8.054,1,0.244,0.836,0.000116,0.0925,0.827,171.931,4
