id,name,album_id,album_name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4npMbTuxrUA3Wd7edACZ2L,Short Circuit,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,206866,2001-03-12,False,86,https://p.scdn.co/mp3-preview/2fd203d83e1c43c87a131b57148098433380fc48?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.535,0.558,6,-10.756,1,0.0741,0.00461,0.824,0.0821,0.215,109.69,4
7v9Q0dAb9t7h8gJOkcJHay,Face to Face,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,240173,2001-03-12,False,86,https://p.scdn.co/mp3-preview/0e9237cb3b1a1bcd5fc8e7d152708c8fbb57dffd?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.874,0.437,1,-10.234,0,0.0706,0.00135,0.0296,0.0293,0.963,117.79,4
3zMvotMEQK3xvH01vA9wAP,Too Long,2noRn2Aes5aoNVsU6iWThc,Discovery,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-02-26T14:54:24Z,600293,2001-03-12,False,86,https://p.scdn.co/mp3-preview/67c477800a27566cb8dc210b92b431f86ab2bf05?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2738b56fd8fb9f486c7ebd2303a,0.691,0.582,5,-10.165,0,0.301,0.00212,0,0.177,0.512,127.02,4
1ULTDrRUQKWQql1Mp5S6qE,Vision,6EeijYcY9DqTc4CyNZWi2P,Vision,4CWpoyuE7e9NvBkUSTmJfq,RŮDE,2021-02-13T21:30:22Z,225741,2019-11-01,False,37,https://p.scdn.co/mp3-preview/68d22bc9cb30bbf3746e7a849aee7e80a615df20?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273e89828990c21c1509a4ee226,0.291,0.701,9,-7.122,1,0.771,0.00172,0.000239,0.278,0.289,139.638,4
24yNd7yDeS6q2T4xolYx7h,Clarity,6EeijYcY9DqTc4CyNZWi2P,Vision,4CWpoyuE7e9NvBkUSTmJfq,RŮDE,2021-02-13T21:30:22Z,216031,2019-11-01,False,37,https://p.scdn.co/mp3-preview/5da3cf388da143a47d5e162758e57e5aa65cdcd7?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273e89828990c21c1509a4ee226,0.678,0.27,0,-17.134,0,0.152,0.00754,0,0.0971,0.038,80.003,4
06bsYuzrcul49rv8VA3s6F,Freedom,6EeijYcY9DqTc4CyNZWi2P,Vision,4CWpoyuE7e9NvBkUSTmJfq,RŮDE,2021-02-13T21:30:22Z,223725,2019-11-01,False,37,https://p.scdn.co/mp3-preview/0e093a4f114a54b25d59799d91ea83ee27654c09?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273e89828990c21c1509a4ee226,0.72,0.648,2,-5.452,1,0.0371,0.0294,0.351,0.109,0.251,102.988,4
1FuAqynhICfdJIb4VMV2Fw,Releaser,6EeijYcY9DqTc4CyNZWi2P,Vision,4CWpoyuE7e9NvBkUSTmJfq,RŮDE,2021-02-13T21:30:22Z,148517,2019-11-01,False,37,https://p.scdn.co/mp3-preview/eb03ce9fe4ce11d3eb27b543f074602d5b97bfce?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273e89828990c21c1509a4ee226,0.666,0.661,10,-8.223,0,0.469,0.00632,0.0541,0.348,0.732,78.05,4
1meux0qrESYqJiDAD6SAAi,I.H.M.S,6EeijYcY9DqTc4CyNZWi2P,Vision,4CWpoyuE7e9NvBkUSTmJfq,RŮDE,2021-02-13T21:30:22Z,228380,2019-11-01,False,37,https://p.scdn.co/mp3-preview/d7743ceceab7f83e6bcb8ac8c8bd446fef82640b?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273e89828990c21c1509a4ee226,0.723,0.436,6,-11.276,0,0.0372,0.106,0.88,0.0839,0.0373,110.014,4
6IeRgadbiTEflyphv7nGlf,Suburban Life,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,139110,2021-01-22,True,21,https://p.scdn.co/mp3-preview/0cb4dcb292cc32d9ba1a4ff7b8c01092e86b7fa7?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.6,0.62,6,-10.319,1,0.861,0.84,0,0.908,0.603,132.282,5
0WI2ihZamGQrsqXIGlHQCM,Rural Life,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,214557,2021-01-22,True,21,https://p.scdn.co/mp3-preview/787d2034e527194d973d5bb42ae18ee60493c041?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.621,0.562,8,-11.671,1,0.923,0.822,0,0.66,0.669,89.735,4
1qklbcir1sUaVarE2BcNPG,I'm Weird and Evil,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,232366,2021-01-22,True,21,https://p.scdn.co/mp3-preview/260344475818935dcb2470014a3f89ebb7a447c7?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.547,0.629,2,-12.139,0,0.933,0.793,0,0.82,0.593,77.677,4
2HjVF6XQCzsfMyCjU9DQe3,I'm Good at Sex,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,217670,2021-01-22,True,21,https://p.scdn.co/mp3-preview/f4982ece238737a0a08d4590bed2151cbb32f9f1?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.601,0.607,10,-12.373,1,0.924,0.742,0,0.94,0.723,103.966,3
49knC8T74OmqzZ2FJKK6y3,I'm Good with Children,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,233410,2021-01-22,True,21,https://p.scdn.co/mp3-preview/f21593189ac1588d81a2418f9b398b4bf82fc333?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.607,0.614,10,-12.44,1,0.946,0.816,0,0.846,0.581,128.587,4
5dqiFMps0lxxpbvdcB1QRG,Sure I'll Do Choke Sex,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,205598,2021-01-22,True,21,https://p.scdn.co/mp3-preview/ad3e62e99c7aa1732552a631ca711dc23e430e2a?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.611,0.619,2,-12.53,1,0.932,0.786,0,0.701,0.589,96.893,4
653VOSQVFoZCsdCoWH2I5j,I'm White,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,223092,2021-01-22,True,21,https://p.scdn.co/mp3-preview/e2f3fe0fb4ef9001db2bbd920de556f51d5f5cdb?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.603,0.582,3,-12.259,0,0.946,0.765,0,0.653,0.702,74.161,4
