id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url
7l9CE3wmEGOUYw1j4ETjnL,Saturnz Barz (feat. Popcaan),3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-08-31 20:07:44+00:00,181906,2017-04-28,False,64,https://p.scdn.co/mp3-preview/d9f3ac8679f70428b27f460acf2e892ad184f0f7?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743
4Hff1IjRbLGeLgFgxvHflk,DARE,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-08-31 20:07:41+00:00,244999,2005-05-23,False,78,https://p.scdn.co/mp3-preview/fb02aea39283e35a92f0ce79b67788b6b1e5ed51?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf
1RKUoGiLEbcXN4GY4spQDx,Clint Eastwood,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-08-31 20:07:35+00:00,340920,2001-03-26,True,79,https://p.scdn.co/mp3-preview/5273a4def05afe6a5c27c352241a684c403f5b6a?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b273f6c46838e4425ea96e2562fe
7Cgig8beI9bQGfoDvOgZTC,Бабки,6UgZXZtv8oIKgmWPMCGp4e,zoo in space,2017-08-31 20:06:19+00:00,236436,2014-09-04,False,0,,https://i.scdn.co/image/ab67616d0000b2739470267ff63330db4b9df172
0O2t6ZqUyXze505PIxc2mz,Up and Away,5beNQx8Rsr5StjfjIhwS4o,Can't Stop Won't Stop,2017-08-31 20:05:46+00:00,203655,2012-01-24,False,0,,https://i.scdn.co/image/ab67616d0000b27339e710406845dc3c12db387d
3ww7sj1QovjTsGAjnHpiPU,Silver Lining,3w4VAlllkAWI6m0AV0Gn6a,Hurts,2017-08-31 20:05:37+00:00,298120,2011-10-28,False,41,https://p.scdn.co/mp3-preview/83ae7bd77807a4322b6257bc93a59b0511268a47?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b273df3d8fb47baeacc36d7df844
75LFkvwx969C5Gu4ZQE8Ih,Accelerate,75GTjeXAy2SiWSgyivG2p3,Courtney Jenaé,2017-08-31 20:05:04+00:00,207170,2012-06-12,False,30,https://p.scdn.co/mp3-preview/7143852f72d0d95ff5127fb1abb751fadf424acc?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b273280ff0b80d614cb71abf9099
0W12ePntnQj0KbroHIiFM9,Get On Up,7o7mC95EDbJKTcPAAs8C3r,Big Gigantic,2017-08-31 20:04:03+00:00,319223,2015-02-03,False,34,https://p.scdn.co/mp3-preview/428dd21c9d61c179cc3f5ce123dc5344ef85e98a?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b2734ce841b58334124e8245c8a5
0c1gHntWjKD7QShC8s99sq,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,2017-08-31 19:57:27+00:00,299760,1998-08-18,False,0,,https://i.scdn.co/image/ab67616d0000b273c895ef2f63f9019c09af2550
5MxNLUsfh7uzROypsoO5qe,Dream On,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,2017-08-31 19:57:23+00:00,266960,1973-01-05,False,9,,https://i.scdn.co/image/ab67616d0000b273b11078ee23dcd99e085ac33e
7ledv9CTjqdwnvHgRmETyZ,Flowers On the Wall,5PSWc8Y94zFsAtZlTe7ipI,The Statler Brothers,2017-08-31 19:57:00+00:00,138800,1996-03-12,False,54,https://p.scdn.co/mp3-preview/6b4eebb7ed735706b0158354346c910e420f2323?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b27361e0470153b00aa41bcb5059
7xAJpAeopaV6rilu3iiwME,Out of Limits,2W9dD4SfW7p19JtzRgWGjz,The Marketts,2017-08-31 19:56:53+00:00,129293,1964,False,49,https://p.scdn.co/mp3-preview/c891302030199c959c3dc8f7b17a09e0d25257f4?cid=884409f9066d4b54be728fb81a6c5be9,https://i.scdn.co/image/ab67616d0000b273a341ac47cd45902e468d6146
